Iteration,EncodedTextLen
0,47912133
10,42355386
20,39422449
30,37003703
40,36503967
50,36333696
60,36325714
70,36390340
80,36457141
90,36421436
100,36382228
110,36262785
120,36264113
130,36213482
140,36137800
150,36325246
160,36194629
170,36009285
180,36034977
190,36202432
200,36170562
210,36087707
220,36299573
230,36195660
240,36270710
250,36043509
260,36207237
270,36244570
280,36146731
290,36364342
300,36266398
310,36340259
320,36182974
330,36350368
340,36188446
350,36248831
360,36275474
370,36333420
380,36543190
390,36364831
400,36258130
410,36277093
420,36257373
430,36250543
440,36317289
450,36291679
460,36480371
470,36402206
480,36386861
490,36365869
500,36273192
510,36455025
520,36393061
530,36381634
540,36414517
550,36501642
560,36344422
570,36392269
580,36392190
590,36521136
600,36380282
610,36309125
620,36386603
630,36401118
640,36391090
650,36459351
660,36472472
670,36434282
680,36551050
690,36549954
700,36430204
710,36506638
720,36463793
730,36483082
740,36683301
750,36479384
760,36568149
770,36518753
780,36563749
790,36528056
800,36630145
810,36527835
820,36550144
830,36701293
840,36591294
850,36583322
860,36741829
870,36634193
880,36657728
890,36716835
900,36609575
910,36620915
920,36721278
930,36601588
940,36745227
950,36649956
960,36617077
970,36782568
980,36707233
990,36833690
1000,36680245
1100,36736214
1200,36828571
1300,36963001
1400,37009973
1500,37187735
1600,37215027
1700,37246368
1800,37534839
1900,37352151
2000,37604525
2100,37551701
2200,37459382
2300,37616235
2400,37526626
2500,37752724
2600,37815692
2700,37835329
2800,37916292
2900,37964850
3000,38144151
3100,38188573
3200,38210279
3300,38314259
3400,38373655
3500,38438913
3600,38561263
3700,38532487
3800,38690146
3900,38728344
4000,38954353
4100,39019698
4200,39095764
4300,39168536
4400,39169621
4500,39245044
4600,39346653
4700,39406910
4800,39463378
4900,39578288
5000,39691164
5100,39572020
5200,39822561
5300,39824248
5400,39874719
5500,39908599
5600,40000019
5700,40045638
5800,40017224
5900,40123329
6000,40139600
6100,40318415
6200,40368192
6300,40408205
6400,40527000
6500,40438280
6600,40596585
6700,40553152
6800,40658377
6900,40753351
7000,40819702
7100,40820098
7200,40886062
7300,40914270
7400,41000668
7500,41027471
7600,41070016
7700,41119662
7800,41136400
7900,41247024
8000,41207621
8100,41340386
8200,41327859
8300,41397743
8400,41400333
8500,41506767
8600,41595359
8700,41548824
8800,41693105
8900,41631014
9000,41800661
9100,41724622
9200,41738862
9300,41797202
9400,41833979
9500,41878947
9600,41980831
9700,41966499
9800,42111537
9900,42149841
